PSYKINEMATIX SESSION DATA
CCTT - CCT-Trivector
MELA_3007 (control)
#1 (27/06/19, 10:25:36)
Independent Variables
 Variable	Value	
v_prime_w	0.4689	
u_prime_w	0.1977	
Trials
Trial Index	DIN	Input	RT	Response	Time	Trial sound Selection	
1	0.000000	NA	NA	Miss	79.72175192832947	beep-01a	
3	0.000000	Top Button	NA	Hit	NA	beep-01a	
4	0.000000	Right Button	NA	Hit	NA	beep-01a	
7	0.000000	NA	NA	Miss	NA	beep-01a	
19	0.000000	Top Button	NA	Hit	NA	beep-01a	
27	0.000000	Bottom Button	NA	Hit	NA	beep-01a	
31	0.000000	Top Button	NA	Hit	NA	beep-01a	
38	0.000000	Right Button	NA	Hit	NA	beep-01a	
39	0.000000	Top Button	NA	Hit	NA	beep-01a	
47	0.000000	Right Button	NA	Hit	NA	beep-01a	
48	0.000000	Bottom Button	NA	Miss	NA	beep-01a	
49	0.000000	Right Button	NA	Hit	NA	beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Miss		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Miss		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
Saturation
Condition	Mean	Std	Variables	
azimuth	0.03591834	0.003487827	az = 0.07	
azimuth	0.01052275	0.001736282	az = 5.98	
azimuth	0.007786441	0.001442744	az = 4.83	
Events
Kind	Name	StartTime	EndTime	Prefly	Onset	Offset	Duration	stimulusRT	DIN	Input	Instance Index	Response	
Composed Stimuli	New Timeline mask	125.1991659402847	127.4291700124741	0.0003510713577270508	125.217719912529	127.4253669977188	2.207647085189819	2.186825942993167	NA	NA	NA	NA	
Method	Staircase	127.6934239864349	129.6175810098648	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	127.6937729120255	129.6157009601593	NA	NA	NA	NA	NA	0.000000	Right Button	NA	Hit	
Composed Stimuli	New Timeline plate	127.9445059299469	129.3540699481964	0.01286900043487549	127.9837219715118	129.3511229753494	1.367401003837585	1.349039072990422	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	127.957377910614	129.3543479442596	0.0003581047058105469	127.9837219715118	129.3511229753494	1.367401003837585	1.349039072990422	NA	NA	NA	NA	
Method	Staircase	129.61809694767	135.4981989860535	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	129.6184579133987	135.4944169521332	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	129.8691819906235	135.2329379320145	0.01335799694061279	129.9058119058609	135.2256269454956	5.319815039634705	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	129.8825429677963	135.2332220077515	0.0003290176391601562	129.9058119058609	135.2256269454956	5.319815039634705	-1	NA	NA	NA	NA	
Method	Staircase	135.4988349676132	137.6250009536743	NA	NA	NA	NA	NA	NA	NA	2	NA	
Procedure	Position Discrimination	135.4991539716721	137.6230199337006	NA	NA	NA	NA	NA	0.000000	Bottom Button	NA	Hit	
Composed Stimuli	New Timeline plate	135.7499159574509	137.3614909648895	0.0131380558013916	135.7838829755783	137.3586839437485	1.574800968170166	1.55336744308471	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	135.763072013855	137.3617238998413	0.0003529787063598633	135.7838829755783	137.3586839437485	1.574800968170166	1.55336744308471	NA	NA	NA	NA	
Procedure	Position Discrimination	137.6258859634399	139.2560449838638	NA	NA	NA	NA	NA	0.000000	Bottom Button	NA	Hit	
Composed Stimuli	New Timeline plate	137.8767009973526	138.9944369792938	0.013388991355896	137.9099539518356	138.9919449090958	1.081990957260132	1.059518455505383	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	137.8900939226151	138.9947040081024	0.0003440380096435547	137.9099539518356	138.9919449090958	1.081990957260132	1.059518455505383	NA	NA	NA	NA	
Method	Staircase	139.2583259344101	142.2171069383621	NA	NA	NA	NA	NA	NA	NA	0	NA	
Procedure	Position Discrimination	139.2585979700089	142.2146530151367	NA	NA	NA	NA	NA	0.000000	Left Button	NA	Hit	
Composed Stimuli	New Timeline plate	139.5093419551849	141.9531279802322	0.01315999031066895	139.5409669876099	141.9497339725494	2.408766984939575	2.384828446388241	NA	NA	NA	NA	
